PID,app,detect_time,package,type
U00,Settings,2023-02-05 17:41:50.227,com.android.settings,TYPE_VIEW_CLICKED
U00,Settings,2023-02-05 17:41:51.639,com.android.settings,TYPE_VIEW_FOCUSED
U00,Settings,2023-02-05 17:41:52.750,com.android.settings,TYPE_VIEW_CLICKED
U00,Settings,2023-02-05 17:41:52.887,com.android.settings,TYPE_VIEW_SCROLLED
U00,Settings,2023-02-05 17:41:53.978,com.android.settings,TYPE_VIEW_FOCUSED
U00,Settings,2023-02-05 17:41:55.398,com.android.settings,TYPE_VIEW_CLICKED
U00,Settings,2023-02-05 17:41:55.557,com.android.settings,TYPE_VIEW_SCROLLED
U00,Settings,2023-02-05 17:41:57.143,com.android.settings,TYPE_VIEW_CLICKED
U00,Settings,2023-02-05 17:42:01.542,com.android.settings,TYPE_VIEW_FOCUSED
U00,Settings,2023-02-05 17:42:01.620,com.android.settings,TYPE_VIEW_SCROLLED
U00,Settings,2023-02-05 17:42:02.619,com.android.settings,TYPE_VIEW_CLICKED
U00,Settings,2023-02-05 17:42:02.769,com.android.settings,TYPE_VIEW_SCROLLED
U00,Settings,2023-02-05 17:42:04.074,com.android.settings,TYPE_VIEW_CLICKED
U00,Settings,2023-02-05 17:42:05.490,com.android.settings,TYPE_VIEW_CLICKED
U00,Settings,2023-02-05 17:42:06.581,com.android.settings,TYPE_VIEW_FOCUSED
U00,Permission controller,2023-02-05 17:42:13.576,com.google.android.permissioncontroller,TYPE_VIEW_CLICKED
U00,System UI,2023-02-05 17:42:14.877,com.android.systemui,TYPE_VIEW_CLICKED
U00,BoredomApp,2023-02-05 17:42:17.029,labelingStudy.nctu.boredom_detection,TYPE_VIEW_CLICKED
U00,Pixel Launcher,2023-02-05 17:42:23.834,com.google.android.apps.nexuslauncher,TYPE_VIEW_SCROLLED
U00,Pixel Launcher,2023-02-05 17:42:24.968,com.google.android.apps.nexuslauncher,TYPE_VIEW_SCROLLED
U00,Pixel Launcher,2023-02-05 17:42:26.131,com.google.android.apps.nexuslauncher,TYPE_VIEW_CLICKED
U00,Pixel Launcher,2023-02-05 17:42:50.439,com.google.android.apps.nexuslauncher,TYPE_VIEW_SCROLLED
U00,System UI,2023-02-05 17:42:52.847,com.android.systemui,TYPE_VIEW_SCROLLED
U00,Pixel Launcher,2023-02-05 17:42:55.339,com.google.android.apps.nexuslauncher,TYPE_VIEW_SCROLLED
U00,Pixel Launcher,2023-02-05 17:42:56.613,com.google.android.apps.nexuslauncher,TYPE_VIEW_CLICKED
U00,Pixel Launcher,2023-02-05 17:42:56.619,com.google.android.apps.nexuslauncher,TYPE_VIEW_FOCUSED
U00,BoredomApp,2023-02-05 17:42:56.776,labelingStudy.nctu.boredom_detection,TYPE_VIEW_SCROLLED
U00,BoredomApp,2023-02-05 17:43:00.448,labelingStudy.nctu.boredom_detection,TYPE_VIEW_CLICKED
U00,BoredomApp,2023-02-05 17:43:09.287,labelingStudy.nctu.boredom_detection,TYPE_VIEW_CLICKED
U00,Pixel Launcher,2023-02-05 17:43:14.171,com.google.android.apps.nexuslauncher,TYPE_VIEW_SCROLLED
U00,Pixel Launcher,2023-02-05 17:43:14.837,com.google.android.apps.nexuslauncher,TYPE_VIEW_CLICKED
U00,System UI,2023-02-05 17:43:19.360,com.android.systemui,TYPE_VIEW_SCROLLED
U00,Chrome,2023-02-05 17:43:28.205,com.android.chrome,TYPE_VIEW_FOCUSED
U00,Chrome,2023-02-05 17:43:28.238,com.android.chrome,TYPE_VIEW_SELECTED
U00,Pixel Launcher,2023-02-05 17:43:29.972,com.google.android.apps.nexuslauncher,TYPE_VIEW_CLICKED
U00,Pixel Launcher,2023-02-05 17:43:59.800,com.google.android.apps.nexuslauncher,TYPE_VIEW_SCROLLED
U00,Google,2023-02-05 17:44:05.605,com.google.android.googlequicksearchbox,TYPE_VIEW_SCROLLED
U00,Google,2023-02-05 17:44:15.593,com.google.android.googlequicksearchbox,TYPE_VIEW_SCROLLED
U00,System UI,2023-02-05 18:31:42.066,com.android.systemui,TYPE_VIEW_SELECTED
U00,Pixel Launcher,2023-02-05 18:31:43.929,com.google.android.apps.nexuslauncher,TYPE_VIEW_CLICKED
U00,Pixel Launcher,2023-02-05 18:31:48.348,com.google.android.apps.nexuslauncher,TYPE_VIEW_CLICKED
U00,Pixel Launcher,2023-02-05 18:31:51.822,com.google.android.apps.nexuslauncher,TYPE_VIEW_CLICKED
U00,System UI,2023-02-05 18:31:56.529,com.android.systemui,TYPE_VIEW_SCROLLED
U00,System UI,2023-02-05 19:06:03.419,com.android.systemui,TYPE_VIEW_SELECTED
U00,Pixel Launcher,2023-02-05 19:06:13.032,com.google.android.apps.nexuslauncher,TYPE_VIEW_CLICKED
U00,Pixel Launcher,2023-02-05 19:06:13.036,com.google.android.apps.nexuslauncher,TYPE_VIEW_FOCUSED
U00,Pixel Launcher,2023-02-05 19:09:20.612,com.google.android.apps.nexuslauncher,TYPE_VIEW_FOCUSED
U00,Pixel Launcher,2023-02-05 19:09:21.616,com.google.android.apps.nexuslauncher,TYPE_VIEW_SCROLLED
U00,Pixel Launcher,2023-02-05 19:09:28.075,com.google.android.apps.nexuslauncher,TYPE_VIEW_SCROLLED
U00,Pixel Launcher,2023-02-05 19:09:28.798,com.google.android.apps.nexuslauncher,TYPE_VIEW_CLICKED
U00,Pixel Launcher,2023-02-05 19:09:33.033,com.google.android.apps.nexuslauncher,TYPE_VIEW_FOCUSED
U00,Pixel Launcher,2023-02-05 19:09:33.354,com.google.android.apps.nexuslauncher,TYPE_VIEW_SCROLLED
U00,Pixel Launcher,2023-02-05 19:09:33.722,com.google.android.apps.nexuslauncher,TYPE_VIEW_CLICKED
U00,System UI,2023-02-05 19:10:23.629,com.android.systemui,TYPE_VIEW_SELECTED
U00,System UI,2023-02-05 19:10:36.631,com.android.systemui,TYPE_VIEW_SELECTED
U00,Pixel Launcher,2023-02-05 19:10:39.202,com.google.android.apps.nexuslauncher,TYPE_VIEW_SCROLLED
U00,Pixel Launcher,2023-02-05 19:10:40.745,com.google.android.apps.nexuslauncher,TYPE_VIEW_CLICKED
U00,Pixel Launcher,2023-02-05 19:10:40.748,com.google.android.apps.nexuslauncher,TYPE_VIEW_FOCUSED
U00,Pixel Launcher,2023-02-05 19:10:44.361,com.google.android.apps.nexuslauncher,TYPE_VIEW_CLICKED
U00,BoredomApp,2023-02-05 19:10:48.024,labelingStudy.nctu.boredom_detection,TYPE_VIEW_CLICKED
U00,BoredomApp,2023-02-05 19:10:56.238,labelingStudy.nctu.boredom_detection,TYPE_VIEW_SCROLLED
U00,System UI,2023-02-05 19:13:41.852,com.android.systemui,TYPE_VIEW_SELECTED
U00,Pixel Launcher,2023-02-05 19:13:48.068,com.google.android.apps.nexuslauncher,TYPE_VIEW_FOCUSED
U00,Pixel Launcher,2023-02-05 19:13:49.908,com.google.android.apps.nexuslauncher,TYPE_VIEW_SCROLLED
U00,Pixel Launcher,2023-02-05 19:13:54.193,com.google.android.apps.nexuslauncher,TYPE_VIEW_CLICKED
U00,Pixel Launcher,2023-02-05 19:13:54.428,com.google.android.apps.nexuslauncher,TYPE_VIEW_FOCUSED
U00,Pixel Launcher,2023-02-05 19:13:57.591,com.google.android.apps.nexuslauncher,TYPE_VIEW_FOCUSED
U00,Pixel Launcher,2023-02-05 19:14:02.628,com.google.android.apps.nexuslauncher,TYPE_VIEW_SCROLLED
U00,Pixel Launcher,2023-02-05 19:14:03.013,com.google.android.apps.nexuslauncher,TYPE_VIEW_CLICKED
U00,Pixel Launcher,2023-02-05 19:14:03.170,com.google.android.apps.nexuslauncher,TYPE_VIEW_FOCUSED
U00,Pixel Launcher,2023-02-05 19:14:32.480,com.google.android.apps.nexuslauncher,TYPE_VIEW_FOCUSED
U00,Pixel Launcher,2023-02-05 19:14:32.944,com.google.android.apps.nexuslauncher,TYPE_VIEW_SCROLLED
U00,Pixel Launcher,2023-02-05 19:14:33.274,com.google.android.apps.nexuslauncher,TYPE_VIEW_CLICKED
U00,Gboard,2023-02-05 19:14:51.189,com.google.android.inputmethod.latin,TYPE_VIEW_HOVER_ENTER
U00,Gboard,2023-02-05 19:14:51.293,com.google.android.inputmethod.latin,TYPE_VIEW_HOVER_EXIT
U00,Pixel Launcher,2023-02-05 19:14:55.527,com.google.android.apps.nexuslauncher,TYPE_VIEW_FOCUSED
U00,Pixel Launcher,2023-02-05 19:14:57.198,com.google.android.apps.nexuslauncher,TYPE_VIEW_SCROLLED
U00,Pixel Launcher,2023-02-05 19:15:00.795,com.google.android.apps.nexuslauncher,TYPE_VIEW_CLICKED
U00,Pixel Launcher,2023-02-05 19:15:09.082,com.google.android.apps.nexuslauncher,TYPE_VIEW_FOCUSED
U00,Pixel Launcher,2023-02-05 19:15:09.923,com.google.android.apps.nexuslauncher,TYPE_VIEW_SCROLLED
U00,Pixel Launcher,2023-02-05 19:15:12.041,com.google.android.apps.nexuslauncher,TYPE_VIEW_SCROLLED
U00,Pixel Launcher,2023-02-05 19:15:14.004,com.google.android.apps.nexuslauncher,TYPE_VIEW_CLICKED
U00,Maps,2023-02-05 19:15:21.154,com.google.android.apps.maps,TYPE_VIEW_SCROLLED
U00,Maps,2023-02-05 19:15:21.997,com.google.android.apps.maps,TYPE_VIEW_CLICKED
U00,Maps,2023-02-05 19:15:22.190,com.google.android.apps.maps,TYPE_VIEW_FOCUSED
U00,Maps,2023-02-05 19:15:25.377,com.google.android.apps.maps,TYPE_VIEW_CLICKED
U00,Maps,2023-02-05 19:15:26.573,com.google.android.apps.maps,TYPE_VIEW_SCROLLED
U00,Maps,2023-02-05 19:15:28.851,com.google.android.apps.maps,TYPE_VIEW_SCROLLED
U00,Gboard,2023-02-05 19:15:33.032,com.google.android.inputmethod.latin,TYPE_VIEW_HOVER_ENTER
U00,Gboard,2023-02-05 19:15:33.118,com.google.android.inputmethod.latin,TYPE_VIEW_HOVER_EXIT
U00,Maps,2023-02-05 19:15:33.132,com.google.android.apps.maps,TYPE_VIEW_TEXT_CHANGED
U00,Maps,2023-02-05 19:15:35.055,com.google.android.apps.maps,TYPE_VIEW_CLICKED
U00,Maps,2023-02-05 19:15:35.583,com.google.android.apps.maps,TYPE_VIEW_SCROLLED
U00,Maps,2023-02-05 19:15:37.151,com.google.android.apps.maps,TYPE_VIEW_CLICKED
U00,Maps,2023-02-05 19:15:38.114,com.google.android.apps.maps,TYPE_VIEW_SCROLLED
U00,Maps,2023-02-05 19:15:40.480,com.google.android.apps.maps,TYPE_VIEW_CLICKED
U00,Maps,2023-02-05 19:15:41.968,com.google.android.apps.maps,TYPE_VIEW_SCROLLED
U00,Maps,2023-02-05 19:15:48.354,com.google.android.apps.maps,TYPE_VIEW_SCROLLED
U00,Maps,2023-02-05 19:15:59.016,com.google.android.apps.maps,TYPE_VIEW_SCROLLED
U00,Maps,2023-02-05 19:15:59.745,com.google.android.apps.maps,TYPE_VIEW_FOCUSED
U00,Pixel Launcher,2023-02-05 19:16:00.784,com.google.android.apps.nexuslauncher,TYPE_VIEW_SCROLLED
U00,Maps,2023-02-05 19:16:04.015,com.google.android.apps.maps,TYPE_VIEW_SCROLLED
U00,Maps,2023-02-05 19:16:07.082,com.google.android.apps.maps,TYPE_VIEW_CLICKED
U00,Maps,2023-02-05 19:16:07.504,com.google.android.apps.maps,TYPE_VIEW_SCROLLED
U00,Maps,2023-02-05 19:16:08.752,com.google.android.apps.maps,TYPE_VIEW_CLICKED
U00,Maps,2023-02-05 19:16:10.314,com.google.android.apps.maps,TYPE_VIEW_SCROLLED
U00,Maps,2023-02-05 19:16:14.784,com.google.android.apps.maps,TYPE_VIEW_CLICKED
U00,Maps,2023-02-05 19:16:15.487,com.google.android.apps.maps,TYPE_VIEW_SCROLLED
U00,Maps,2023-02-05 19:16:17.457,com.google.android.apps.maps,TYPE_VIEW_CLICKED
U00,Maps,2023-02-05 19:16:18.163,com.google.android.apps.maps,TYPE_VIEW_SCROLLED
U00,Maps,2023-02-05 19:16:20.769,com.google.android.apps.maps,TYPE_VIEW_FOCUSED
U00,Maps,2023-02-05 19:16:22.396,com.google.android.apps.maps,TYPE_VIEW_CLICKED
U00,Maps,2023-02-05 19:16:24.669,com.google.android.apps.maps,TYPE_VIEW_FOCUSED
U00,Maps,2023-02-05 19:16:25.484,com.google.android.apps.maps,TYPE_VIEW_CLICKED
U00,Maps,2023-02-05 19:16:27.430,com.google.android.apps.maps,TYPE_VIEW_FOCUSED
U00,Maps,2023-02-05 19:16:28.205,com.google.android.apps.maps,TYPE_VIEW_SCROLLED
U00,Maps,2023-02-05 19:16:29.624,com.google.android.apps.maps,TYPE_VIEW_CLICKED
U00,Maps,2023-02-05 19:16:31.986,com.google.android.apps.maps,TYPE_VIEW_FOCUSED
U00,Maps,2023-02-05 19:16:32.617,com.google.android.apps.maps,TYPE_VIEW_CLICKED
U00,Maps,2023-02-05 19:16:34.644,com.google.android.apps.maps,TYPE_VIEW_FOCUSED
U00,Maps,2023-02-05 19:16:35.129,com.google.android.apps.maps,TYPE_VIEW_CLICKED
U00,Pixel Launcher,2023-02-05 19:16:50.994,com.google.android.apps.nexuslauncher,TYPE_VIEW_CLICKED
U00,Pixel Launcher,2023-02-05 19:16:50.999,com.google.android.apps.nexuslauncher,TYPE_VIEW_FOCUSED
U00,BoredomApp,2023-02-05 19:16:52.261,labelingStudy.nctu.boredom_detection,TYPE_VIEW_CLICKED
U00,BoredomApp,2023-02-05 19:17:33.413,labelingStudy.nctu.boredom_detection,TYPE_VIEW_LONG_CLICKED
U00,BoredomApp,2023-02-05 19:17:35.257,labelingStudy.nctu.boredom_detection,TYPE_VIEW_SCROLLED
U00,BoredomApp,2023-02-05 19:17:40.528,labelingStudy.nctu.boredom_detection,TYPE_VIEW_CLICKED
U00,BoredomApp,2023-02-05 19:17:41.618,labelingStudy.nctu.boredom_detection,TYPE_VIEW_SCROLLED
U00,BoredomApp,2023-02-05 19:17:46.296,labelingStudy.nctu.boredom_detection,TYPE_VIEW_CLICKED
U00,BoredomApp,2023-02-05 19:17:48.150,labelingStudy.nctu.boredom_detection,TYPE_VIEW_SCROLLED
U00,BoredomApp,2023-02-05 19:17:53.488,labelingStudy.nctu.boredom_detection,TYPE_VIEW_CLICKED
U00,System UI,2023-02-05 19:19:18.027,com.android.systemui,TYPE_VIEW_SELECTED
U00,System UI,2023-02-05 19:19:23.764,com.android.systemui,TYPE_VIEW_SCROLLED
U00,System UI,2023-02-05 19:19:30.928,com.android.systemui,TYPE_VIEW_SELECTED
U00,Pixel Launcher,2023-02-05 19:19:40.944,com.google.android.apps.nexuslauncher,TYPE_VIEW_CLICKED
U00,Pixel Launcher,2023-02-05 19:19:40.948,com.google.android.apps.nexuslauncher,TYPE_VIEW_FOCUSED
U00,BoredomApp,2023-02-05 19:19:41.094,labelingStudy.nctu.boredom_detection,TYPE_VIEW_SCROLLED
U00,BoredomApp,2023-02-05 19:19:42.901,labelingStudy.nctu.boredom_detection,TYPE_VIEW_CLICKED
U00,BoredomApp,2023-02-05 19:19:52.449,labelingStudy.nctu.boredom_detection,TYPE_VIEW_CLICKED
U00,BoredomApp,2023-02-05 19:19:54.740,labelingStudy.nctu.boredom_detection,TYPE_VIEW_CLICKED
U00,BoredomApp,2023-02-05 19:19:58.312,labelingStudy.nctu.boredom_detection,TYPE_VIEW_SCROLLED
U00,BoredomApp,2023-02-05 19:19:58.864,labelingStudy.nctu.boredom_detection,TYPE_VIEW_CLICKED
U00,System UI,2023-02-05 19:20:06.293,com.android.systemui,TYPE_VIEW_SCROLLED
U00,System UI,2023-02-05 19:20:45.096,com.android.systemui,TYPE_VIEW_SCROLLED
U00,System UI,2023-02-05 19:22:48.107,com.android.systemui,TYPE_VIEW_SELECTED
U00,System UI,2023-02-05 19:22:51.296,com.android.systemui,TYPE_VIEW_SCROLLED
